Id,Price
725,158259.03
15856,213927.08
5480,202914.33
15664,387747.4
14275,140065.2
7633,213487.11
13329,164303.17
5502,215206.89
4220,302994.72
11538,203510.39
15975,267653.0
3310,221969.28
9286,152245.84
11260,186414.36
5214,101983.11
11307,181255.33
13543,393003.53
615,166923.67
3495,218843.44
2321,236968.77
12046,193920.42
16688,139272.17
12694,222618.17
783,151163.34
8968,167214.22
13454,181318.88
12190,256494.2
11160,115218.99
10291,191900.88
891,283822.16
2982,185472.4
3818,256239.5
2449,191213.02
8317,162285.16
4922,181406.08
1257,247902.89
9348,211692.1
4176,179229.47
10704,162804.03
6624,115125.42
5428,202756.12
12749,171804.25
8994,204078.38
11513,139978.88
3047,192419.28
9519,182718.69
12309,281795.2
14081,286819.9
8334,263186.47
6343,172662.89
14788,127250.24
15748,407370.72
153,239668.7
14149,175389.73
269,198803.73
5452,123099.414
721,164276.48
5079,329260.56
2831,109244.68
10614,113594.77
10131,256747.12
9996,289604.06
3061,188847.62
11733,299656.53
3726,220725.28
10929,208635.83
9011,314806.06
16182,289602.44
4976,174614.62
9897,252278.64
1872,163627.64
9205,411136.3
5403,405597.7
14074,200552.38
6268,150727.08
14232,163999.4
8532,224986.64
7034,337528.6
6553,517407.38
3133,176475.1
8596,211072.81
12389,235722.11
14462,179336.98
8860,322717.84
8377,252834.44
6367,326287.16
6917,238403.86
4216,194690.36
5806,170133.4
5438,182919.55
6632,191486.84
2650,150713.86
5396,222208.97
4044,148838.31
1345,234027.02
856,173545.88
12791,259722.16
12499,216293.3
12249,128569.75
14641,145167.12
1919,161882.6
7848,193379.1
10749,183166.8
15554,202381.6
15834,182810.42
1355,172622.12
15451,186915.3
12401,186970.72
10290,173961.36
9462,125905.984
3103,242786.03
3420,142981.25
12262,245343.14
5032,142160.9
8949,277729.12
15567,224713.44
16389,155666.25
7809,89378.79
8990,146137.89
16089,268259.97
12743,103313.766
5132,124826.914
1619,266903.03
2428,87445.24
16741,161126.89
13193,210229.64
12588,558677.6
5067,171276.73
14685,127146.484
2292,172572.4
5746,130013.31
12578,161951.61
14834,165484.95
2147,178245.62
8222,135808.62
10419,245265.11
11492,211164.17
3006,218330.55
8761,192906.8
15371,391672.8
16367,160434.72
6317,264378.8
10878,273091.94
3895,148902.02
8041,218205.42
13428,453436.22
14669,160721.03
1006,177371.7
12271,182552.75
3764,398653.3
7675,201530.16
11709,297942.97
