Id,Price
725,174222.57958707717
15856,226812.17828713168
5480,251545.2645457579
15664,338468.9315934199
14275,143563.9624243227
7633,203402.94193414692
13329,178254.94189521635
5502,221857.8341891103
4220,296919.3585667083
11538,209191.00493705558
15975,262996.72997145413
3310,222471.42481151232
9286,149993.8111686544
11260,191271.40519463283
5214,103868.81104622222
11307,178800.64226040134
13543,374643.87942593993
615,185277.2291140793
3495,212843.00880541542
2321,233611.9535971903
12046,186074.21089768133
16688,144187.10099423002
12694,230461.8991622294
783,154198.09642745164
8968,174252.7350709454
13454,178650.2427633836
12190,274009.7354422084
11160,109944.91486911081
10291,198792.3308633333
891,278241.22258252033
2982,182437.4477419022
3818,248441.99697863893
2449,201797.5420621574
8317,164091.27587500663
4922,182211.32252246368
1257,239230.47200286185
9348,205291.22047898066
4176,184339.11971039078
10704,162991.63981983322
6624,117638.08201057398
5428,187204.28673081758
12749,169971.3941950486
8994,182836.7623881372
11513,143990.6837538013
3047,181538.7157025887
9519,214398.08376392076
12309,248888.08057430925
14081,272990.17489886686
8334,251379.41898660865
6343,174953.96436230134
14788,128994.15042997856
15748,372135.270673406
153,251400.40898991036
14149,185645.08706039272
269,192640.2408892661
5452,133082.49269930614
721,159389.97575562223
5079,319805.1133415152
2831,124166.021239783
10614,112621.90599830574
10131,265177.6206034534
9996,331556.25948041125
3061,190937.92941165285
11733,324141.99025185575
3726,239561.6332496667
10929,216440.3698255085
9011,291304.5833215108
16182,275923.46335370844
4976,192001.86698715098
9897,249324.2065871876
1872,151980.1145357416
9205,353759.07343523344
5403,401834.02331740875
14074,205979.98849950053
6268,155256.77118743284
14232,162971.5791632465
8532,242211.81404649763
7034,297670.9813554861
6553,385225.78744301404
3133,179837.7812670092
8596,207915.6790756074
12389,245926.07231974544
14462,177936.89613777786
8860,323332.3717625283
8377,287102.84909147467
6367,314858.1624437441
6917,250935.99373672763
4216,200920.72650360278
5806,169685.04764179565
5438,189059.2926505176
6632,198864.4874439388
2650,154409.6800351704
5396,203025.32728521922
4044,148505.65801716267
1345,233357.40578925854
856,171046.73607374734
